Year,Wine ID,User Rating,Note,CreatedAt,Winery,Wine,Rating,num_review
2020,2468359,4.0,"Dusty blackcurrant on the nose. Palate follows through with plum, dark fruit and a pronounced chocolate oak. Bumped to 4 for smoothness!",2021-12-04T19:16:02.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
2020,2468359,4.0,"A nose of dark berry and light oak gives way to tasting notes of spice and blackberry jam, with earthy and subtly sweet notes on the follow.",2022-04-03T18:27:14.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
2020,2468359,4.0,"A very fruity wine, hits you in the face with it on the nose and the taste. Not a long finish on this one but that’s to be expected with a young wine. ",2022-09-03T16:18:59.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
2020,2468359,4.0,"Lovely flavour, enjoyed this wine. Notes of vanilla, cherry and chocolate, not too fruity. Had this while going through the tough times...",2022-02-14T19:30:19.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
2020,2468359,4.0,"I have a terrible memory. It has the advantage that I can enjoy repeats on TV and reread Graham Greene with awe. When it comes to wine I rely on Vivino to remind me: do I like this? Apparently I do. Sometimes I test myself by tasting a wine again some months later and then see if I agree with myself. No argument is more difficult to win than that with oneself. But there was no argument here. As before, thick with chocolate and vanilla and berry. Wonderful.",2022-06-26T17:58:16.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
2020,2468359,4.0,"Plum, BlackBerry and Dark Cherry on the nose of this Red wine from Portugal. It is dry with medium tannins and Vanilla spice. Flavors of Jammy Plum, Blackberry and Cherry. Continues with Vanilla, Oak, Caramel and Mocha. Nice bottle before, during or after Dinner. Have a Great Week and Cheers to all my wine friends. 🍷🍷🍷",2022-03-11T00:17:55.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
2020,2468359,4.0,"Fruity and easy to enjoy. A well balanced Portuguese red bursting with red fruit, strawberry and cherry with just a hint of tobacco. A lovely deep red colour which is ever so slightly sweet to the taste. Very nice. ",2022-06-21T19:16:13.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
2020,2468359,4.0,"12/03/22 rich elegant white unusual but lovely vanilla with dry tropical fruit -Note to readers: we drink all of our wines - ie the whole bottle - before fully reviewing. We don’t just have a slurp and spit - I save that for professional tastings (which I don’t note on here) outside of my private life - so you can be sure you will get a review of the full bottle over a period of time rather than 10 seconds of tasting - white red or rose !
Thanks for reading :) ",2022-03-13T09:33:29.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
2020,2468359,4.0,"Very pleasing Portuguese red made from 70% Castelao, 20% Alicante Bouschet, and 10% Touriga Nacional. Medium ruby in the glass. Aroma profile is a tad muted, but plum, strawberry, raspberry, dried herbs, and smoked meat are present. Firm structure, and good mouthfeel to this. Strawberry, currant, and a bit of mocha. All in all a solid offering from Laitewaites. ",2022-04-22T02:11:09.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
2020,2468359,4.0,"WSJ advent. Dark ruby. Fat syrupy legs. Rich blackberry, blueberry, cherry on nose. As it sits, almost a toffee smell emerges. Silky and full in mouth. Balanced with jam and light acid in front and more of a mild dry finish. Getting dark fruit, baking spices, coffee, cocoa in finish. Very similar to some mid-level Napa cabs without as much oak presence. Very enjoyable. 3.9",2021-12-17T01:22:45.000Z,Casal Branco,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1734
